Component,g/L,reaction,lb,ub
-1.0 phylloquinone <-->,0,HMR_9392,0,1000
-1.0 progesterone <-->,0,HMR_9393,0,1000
-1.0 D-proline <-->,0,HMR_9394,0,1000
-1.0 prostaglandin D2 <-->,0,HMR_9395,0,1000
-1.0 prostaglandin E1 <-->,0,HMR_9396,0,1000
-1.0 prostaglandin E2 <-->,0,HMR_9397,0,1000
-1.0 prostaglandin F2alpha <-->,0,HMR_9398,0,1000
-1.0 pyridoxamine <-->,0,HMR_9399,0,1000
-1.0 pyridoxal <-->,0,HMR_9400,0,1000
-1.0 ribitol <-->,0,HMR_9401,0,1000
-1.0 retinoate <-->,0,HMR_9404,0,1000
-1.0 retinoyl-glucuronide <-->,0,HMR_9405,0,1000
-1.0 ribose <-->,0,HMR_9406,0,1000
-1.0 D-serine <-->,0,HMR_9407,0,1000
-1.0 (S)-3-sulfolactate <-->,0,HMR_9408,0,1000
-1.0 sphingosylphosphorylcholine <-->,0,HMR_9409,0,1000
-1.0 sphinganine-1-phosphate <-->,0,HMR_9410,0,1000
-1.0 sphingosine-1-phosphate <-->,0,HMR_9411,0,1000
-1.0 serotonin <-->,0,HMR_9412,0,1000
-1.0 starch structure 1 <-->,0,HMR_9413,0,1000
-1.0 starch structure 2 <-->,0,HMR_9414,0,1000
-1.0 succinate <-->,0,HMR_9415,0,1000
-1.0 sucrose <-->,0,HMR_9416,0,1000
-1.0 D-tagatose <-->,0,HMR_9417,0,1000
-1.0 taurine <-->,0,HMR_9418,0,1000
-1.0 paclitaxel <-->,0,HMR_9419,0,1000
-1.0 thiocyanate <-->,0,HMR_9420,0,1000
-1.0 THF <-->,0,HMR_9421,0,1000
-1.0 thymine <-->,0,HMR_9422,0,1000
-1.0 thymidine <-->,0.000365,HMR_9423,-0.000365,1000
-1.0 thyroxine <-->,0,HMR_9424,0,1000
-1.0 tolbutamide <-->,0,HMR_9425,0,1000
-1.0 trehalose <-->,0,HMR_9426,0,1000
-1.0 triiodothyronine <-->,0,HMR_9427,0,1000
"-1.0 3,5,3-triiodothyronine-4-sulfate <-->",0,HMR_9428,0,1000
-1.0 testosterone <-->,0,HMR_9429,0,1000
-1.0 testosterone glucuronide <-->,0,HMR_9430,0,1000
-1.0 testosterone sulfate <-->,0,HMR_9431,0,1000
-1.0 thiosulfate <-->,0,HMR_9432,0,1000
-1.0 thromboxane A2 <-->,0,HMR_9433,0,1000
-1.0 tyramine-O-sulfate <-->,0,HMR_9434,0,1000
-1.0 UDP <-->,0,HMR_9435,0,1000
-1.0 UMP <-->,0,HMR_9436,0,1000
-1.0 uracil <-->,0,HMR_9437,0,1000
-1.0 urea <-->,0,HMR_9438,0,1000
-1.0 uridine <-->,0,HMR_9439,0,1000
-1.0 UTP <-->,0,HMR_9440,0,1000
-1.0 vitamin D2 <-->,0,HMR_9441,0,1000
-1.0 vitamin D3 <-->,0,HMR_9442,0,1000
-1.0 12-hydroxydodecanoic acid <-->,0,HMR_9443,0,1000
-1.0 14-hydroxytetradecanoic acid <-->,0,HMR_9444,0,1000
-1.0 16-hydroxyhexadecanoic acid <-->,0,HMR_9445,0,1000
-1.0 19-hydroxytestosterone <-->,0,HMR_9446,0,1000
-1.0 galactosylglycerol <-->,0,HMR_9447,0,1000
-1.0 maltodecaose <-->,0,HMR_9448,0,1000
-1.0 phenylacetylglycine <-->,0,HMR_9449,0,1000
-1.0 XTP <-->,0,HMR_9450,0,1000
-1.0 itaconate <-->,0,HMR_9451,0,1000
-1.0 estriol <-->,0,HMR_9452,0,1000
-1.0 etiocholanolone <-->,0,HMR_9453,0,1000
-1.0 D-ornithine <-->,0,HMR_9454,0,1000
-1.0 D-arginine <-->,0,HMR_9455,0,1000
-1.0 ADP-glucose <-->,0,HMR_9456,0,1000
-1.0 ADP-mannose <-->,0,HMR_9457,0,1000
-1.0 D-ribulose <-->,0,HMR_9458,0,1000
-1.0 creatinine <-->,0,HMR_9460,0,1000
"-1.0 glucose-1,6-bisphosphate <-->",0,HMR_9461,0,1000
-1.0 hyodeoxycholate <-->,0,HMR_9462,0,1000
-1.0 glycodeoxycholate <-->,0,HMR_9463,0,1000
-1.0 L-iduronic acid <-->,0,HMR_9681,0,1000
-1.0 4-nitrophenyl-phosphate <-->,0,HMR_9682,0,1000
-1.0 5-L-gamma-glutamyl <-->,0,HMR_9683,0,1000
-1.0 agmatine <-->,0,HMR_9684,0,1000
-1.0 D-glucitol <-->,0,HMR_9685,0,1000
-1.0 G00022 <-->,0,HMR_9686,0,1000
-1.0 G00032 <-->,0,HMR_9687,0,1000
-1.0 G00086 <-->,0,HMR_9688,0,1000
-1.0 N-acetyl-D-mannosamine <-->,0,HMR_9689,0,1000
-1.0 orotate <-->,0,HMR_9690,0,1000
